City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,Saint-Pierre,-21.3393,55.4781,67.68,74,0,8.05,RE,2022-07-28 23:11:09
155,Saint-Denis,48.9167,2.3333,71.15,48,0,6.91,FR,2022-07-28 23:11:10
156,Hambantota,6.1241,81.1185,77.02,90,100,5.37,LK,2022-07-28 23:11:10
157,Inirida,3.8653,-67.9239,72.63,96,97,2.44,CO,2022-07-28 23:11:11
158,Marietta,33.9526,-84.5499,91.94,64,0,10.36,US,2022-07-28 23:08:03
159,San Pedro,14.35,121.0167,81.36,92,100,8.05,PH,2022-07-28 23:06:42
160,Iquique,-20.2208,-70.1431,59.04,81,20,6.35,CL,2022-07-28 23:11:12
161,Mangai,-4.05,19.5333,74.79,49,48,0.45,CD,2022-07-28 23:11:12
162,Riyadh,24.6877,46.7219,89.74,36,100,4.9,SA,2022-07-28 23:09:54
163,Luanda,-8.8368,13.2343,68.07,91,61,6.91,AO,2022-07-28 23:11:12
164,Tyukhtet,56.5389,89.3011,56.23,88,88,2.28,RU,2022-07-28 23:11:13
165,Berlevag,70.8578,29.0864,48.2,87,100,9.22,NO,2022-07-28 23:11:13
166,Axim,4.8699,-2.2405,75.72,77,68,10.67,GH,2022-07-28 23:11:14
167,Cape Canaveral,28.4058,-80.6048,89.67,70,0,12.66,US,2022-07-28 23:11:14
168,Bocas Del Toro,9.3333,-82.25,80.24,75,77,5.08,PA,2022-07-28 23:11:14
169,Yangambi,0.8102,24.4336,69.96,97,100,2.53,CD,2022-07-28 23:11:15
170,Porto Novo,6.4965,2.6036,76.46,78,100,9.35,BJ,2022-07-28 23:11:15
171,San Cristobal,7.7669,-72.225,69.98,92,94,3.53,VE,2022-07-28 23:11:17
172,Margate,51.3813,1.3862,63.7,77,71,3.0,GB,2022-07-28 23:11:17
173,Huntingdon,52.3305,-0.1865,63.27,78,76,7.34,GB,2022-07-28 23:07:54
174,Marzuq,14.4,46.4667,82.44,43,74,6.4,YE,2022-07-28 23:11:18
175,Hualmay,-11.0964,-77.6139,62.78,81,23,11.32,PE,2022-07-28 23:11:18
176,Kedrovyy,56.1667,91.8167,63.01,92,80,1.99,RU,2022-07-28 23:11:19
177,Feira De Santana,-12.2667,-38.9667,64.96,90,5,4.16,BR,2022-07-28 23:10:43
178,Makurdi,7.7411,8.5121,71.91,97,100,6.42,NG,2022-07-28 23:08:16
179,Namibe,-15.1961,12.1522,60.76,81,20,7.47,AO,2022-07-28 23:12:20
